strike,call_price,put_price
22600.0,2054.6,2.6
22650.0,2004.65,2.6
22700.0,1982.15,2.6
22750.0,1904.8,2.75
22800.0,1854.9,2.75
22850.0,1805.0,2.8
22900.0,1755.1,2.85
22950.0,1705.2,3.0
23000.0,1671.25,3.05
23050.0,1605.5,3.05
23100.0,1555.7,3.2
23150.0,1505.95,3.3
23200.0,1456.2,3.45
23250.0,1406.55,3.65
23300.0,1375.0,3.8
23350.0,1307.55,4.05
23400.0,1258.2,4.3
23450.0,1209.05,4.55
23500.0,1172.85,4.9
23550.0,1111.3,5.25
23600.0,1074.3,5.65
23650.0,1014.65,6.15
23700.0,976.65,6.7
23750.0,919.55,7.5
23800.0,881.2,8.25
23850.0,836.75,9.2
23900.0,784.6,10.45
23950.0,728.9,11.8
24000.0,684.7,13.85
24050.0,638.05,15.6
24100.0,590.8,18.1
24150.0,546.9,21.25
24200.0,498.85,24.9
24250.0,454.05,29.6
24300.0,409.85,35.4
24350.0,367.45,42.1
24400.0,324.75,50.95
24450.0,285.65,61.05
24500.0,247.95,73.8
24550.0,213.45,88.65
24600.0,181.35,106.55
24650.0,151.8,126.15
24700.0,126.05,150.1
24750.0,103.45,176.1
24800.0,83.55,206.8
24850.0,66.8,239.9
24900.0,52.25,275.6
24950.0,40.8,312.45
25000.0,31.7,354.25
25050.0,23.9,395.45
25100.0,18.15,440.0
25150.0,13.65,485.9
25200.0,10.5,533.05
25250.0,7.85,580.05
25300.0,6.1,628.45
25350.0,4.85,726.45
25400.0,3.95,724.5
25450.0,3.4,816.15
25500.0,3.0,825.55
25550.0,2.45,908.5
25600.0,2.1,924.55
25650.0,1.95,1002.95
25700.0,1.75,1050.75
25750.0,1.6,1098.95
25800.0,1.55,1122.9
25850.0,1.4,1196.15
25900.0,1.3,1245.1
25950.0,1.15,1294.25
26000.0,1.2,1318.95
26050.0,1.05,1392.95
26100.0,0.85,1442.45
26150.0,0.9,1492.05
26200.0,0.75,1516.65
26250.0,0.85,1591.4
26300.0,0.7,1641.2
26350.0,0.8,1691.0
26400.0,0.75,1740.85
26450.0,0.75,1790.7
26500.0,0.7,1817.65
26550.0,0.75,1890.45
26600.0,0.75,1940.35
26650.0,0.75,1990.25
26700.0,0.75,2040.15
26750.0,0.8,2090.1
26800.0,0.7,2140.0
26850.0,0.7,2189.95
