strike,call_price,put_price
22600.0,1850.8,0.65
22650.0,1791.7,0.65
22700.0,1741.7,0.65
22750.0,1691.75,0.75
22800.0,1641.8,0.8
22850.0,1591.8,0.85
22900.0,1541.85,0.9
22950.0,1491.9,0.95
23000.0,1466.0,1.0
23050.0,1391.95,1.0
23100.0,1342.0,1.05
23150.0,1292.05,1.1
23200.0,1242.15,1.1
23250.0,1192.2,1.2
23300.0,1150.0,1.25
23350.0,1092.5,1.25
23400.0,1066.7,1.35
23450.0,993.05,1.5
23500.0,954.25,1.6
23550.0,894.05,1.65
23600.0,871.6,1.8
23650.0,795.9,1.95
23700.0,768.3,2.2
23750.0,704.95,2.45
23800.0,665.0,2.7
23850.0,608.95,3.1
23900.0,564.3,3.75
23950.0,532.7,4.6
24000.0,472.75,6.05
24050.0,417.8,7.55
24100.0,372.35,9.7
24150.0,324.2,12.95
24200.0,279.85,17.2
24250.0,234.75,23.75
24300.0,196.35,32.25
24350.0,158.05,44.15
24400.0,124.25,60.1
24450.0,95.85,79.75
24500.0,72.15,103.95
24550.0,53.1,134.7
24600.0,38.6,170.05
24650.0,27.7,209.3
24700.0,20.0,250.35
24750.0,14.4,296.85
24800.0,10.5,345.25
24850.0,7.7,390.1
24900.0,5.8,438.95
24950.0,4.55,483.75
25000.0,3.85,539.8
25050.0,3.05,585.1
25100.0,2.55,633.3
25150.0,2.2,687.15
25200.0,1.95,740.95
25250.0,1.65,757.55
25300.0,1.55,834.85
25350.0,1.35,899.45
25400.0,1.25,943.0
25450.0,1.2,988.85
25500.0,1.2,1030.4
25550.0,1.1,1106.95
25600.0,1.0,1142.1
25650.0,1.0,1206.6
25700.0,0.85,1246.1
25750.0,0.8,1306.45
25800.0,0.8,1340.0
25850.0,0.75,1406.3
25900.0,0.7,1456.25
25950.0,0.7,1506.2
26000.0,0.7,1547.05
26050.0,0.65,1606.15
26100.0,0.65,1656.1
26150.0,0.7,1706.05
26200.0,0.65,1705.65
26250.0,0.65,1806.0
26300.0,0.65,1850.0
26350.0,0.6,1905.95
26400.0,0.6,1955.9
26450.0,0.6,2005.85
26500.0,0.6,2055.85
26550.0,0.55,2105.8
26600.0,0.55,2155.75
26650.0,0.55,2205.75
26700.0,0.5,2255.7
26750.0,0.5,2305.65
26800.0,0.45,2355.65
26850.0,0.4,2405.6
